date,temperature,rainfall,is_Holiday,promotion,orders,,,
01-01-2025,30,0.1,1,0,240,,,
02-01-2025,27,1.7,0,0,197,,,
03-01-2025,34,1.6,0,0,236,,,
04-01-2025,31,1.2,0,0,225,,,
05-01-2025,28,0.1,1,1,244,,,
06-01-2025,30,0.8,0,0,233,,,
07-01-2025,33,2.8,0,0,220,,,
08-01-2025,26,3.2,1,1,256,,,
09-01-2025,30,2.4,0,0,206,,,
10-01-2025,34,3.7,0,0,246,,,
11-01-2025,34,2.6,1,0,261,,,
12-01-2025,31,3.7,0,0,201,,,
13-01-2025,28,3.4,0,1,214,,,
14-01-2025,27,1.8,0,0,217,,,
15-01-2025,31,0.4,0,0,233,,,
16-01-2025,31,1.5,0,0,224,,,
17-01-2025,26,2.7,0,1,194,,,
18-01-2025,29,2.7,0,0,225,,,
19-01-2025,28,2.4,1,0,251,,,
20-01-2025,25,1.1,0,1,233,,,
21-01-2025,31,2.2,0,1,237,,,
22-01-2025,35,1.5,1,1,294,,,
23-01-2025,29,3.9,1,0,238,,,
24-01-2025,25,3.4,0,0,174,,,
25-01-2025,35,2.9,1,0,268,,,
26-01-2025,28,0.9,0,0,223,,,
27-01-2025,24,1,0,0,199,,,
28-01-2025,35,0.2,0,1,258,,,
29-01-2025,33,2.8,1,0,247,,,
30-01-2025,29,0.4,1,1,271,,,
31-01-2025,35,1.8,0,0,250,,,
01-02-2025,32,0.8,1,1,255,,,
02-02-2025,24,3.6,1,0,184,,,
03-02-2025,34,1.9,1,0,263,,,
04-02-2025,34,2.3,0,1,252,,,
05-02-2025,33,2.8,0,0,228,,,
06-02-2025,35,0.6,0,0,244,,,
07-02-2025,35,2.4,0,1,272,,,
08-02-2025,26,2.2,1,1,244,,,
09-02-2025,35,0.8,1,0,275,,,
10-02-2025,30,3.8,0,0,200,,,
11-02-2025,27,2.4,0,0,169,,,
12-02-2025,32,2.8,0,1,257,,,
13-02-2025,26,3.5,0,0,215,,,
14-02-2025,28,2.5,1,0,229,,,
15-02-2025,26,1.2,0,0,203,,,
16-02-2025,30,0.4,0,0,227,,,
17-02-2025,28,1.8,0,1,246,,,
18-02-2025,32,0.9,0,0,241,,,
19-02-2025,30,1.7,0,1,244,,,
20-02-2025,25,3.5,0,0,190,,,
21-02-2025,27,1.3,0,0,206,,,
22-02-2025,32,0.5,0,0,219,,,
23-02-2025,35,1.4,0,0,241,,,
24-02-2025,25,3.6,0,1,218,,,
25-02-2025,33,1.1,0,1,254,,,
26-02-2025,32,2.6,0,0,227,,,
27-02-2025,33,0,0,1,248,,,
28-02-2025,28,1.4,1,0,240,,,
01-03-2025,25,1.2,0,1,201,,,
02-03-2025,27,0.7,1,0,235,,,
03-03-2025,35,2.1,0,0,241,,,
04-03-2025,35,1.9,0,0,226,,,
05-03-2025,30,2.8,0,0,227,,,
06-03-2025,35,1.1,0,0,245,,,
07-03-2025,31,1,1,0,270,,,
08-03-2025,26,0.7,0,0,217,,,
09-03-2025,24,0.9,0,0,183,,,
10-03-2025,27,2.2,0,1,215,,,
11-03-2025,25,1.6,0,0,183,,,
12-03-2025,31,0.3,0,0,213,,,
13-03-2025,27,1,1,1,247,,,
14-03-2025,25,1,0,1,231,,,
15-03-2025,29,2.8,0,0,192,,,
16-03-2025,29,2.8,1,0,245,,,
17-03-2025,33,0.6,0,1,265,,,
18-03-2025,27,4,1,0,228,,,
19-03-2025,29,1.1,0,1,244,,,
20-03-2025,25,3.9,0,1,197,,,
21-03-2025,33,1.6,0,0,242,,,
22-03-2025,35,0.1,1,0,269,,,
23-03-2025,25,1.4,0,1,191,,,
24-03-2025,33,2.5,0,0,233,,,
25-03-2025,27,2.7,0,0,193,,,
26-03-2025,31,2.1,0,1,257,,,
27-03-2025,30,1.8,0,1,236,,,
28-03-2025,35,2.2,0,1,263,,,
29-03-2025,32,2.4,0,1,251,,,
30-03-2025,31,0.3,1,1,271,,,
31-03-2025,28,1.5,1,1,254,,,
01-04-2025,25,1,0,1,225,,,
02-04-2025,28,3.2,0,1,214,,,
03-04-2025,31,1.9,0,0,217,,,
04-04-2025,33,3.9,0,0,218,,,
05-04-2025,32,1.6,0,1,264,,,
06-04-2025,35,3.3,0,1,253,,,
07-04-2025,35,3.2,0,1,258,,,
08-04-2025,35,0.6,1,1,287,,,
09-04-2025,32,2,0,1,245,,,
10-04-2025,24,2.8,0,0,179,,,
